material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
LiAlO3  3.66403698  0.880583662151  0.01236181  1.68680 2.09990 1.10410 1.43130 3 13 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -2.547095300306 -2.547095387743 -0.308077870308 5.449666311380 1.00
LiTiO3  3.81917965  1.02696403515  0.04290866  1.68680 2.09990 1.54120 2.08940 3 22 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.667603032050 -3.667603157952 -0.021725201808 7.552223574011 1.00
LiVO3  3.68182602  1.26259256646  0.91763776  1.68680 2.09990 1.45970 2.04700 3 23 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.798406943350 -4.798407108071 -0.664676976192 7.407416209273 1.00
LiCrO3  3.62100045  1.30576118423  0.00807048  1.68680 2.09990 1.42470 2.01210 3 24 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.733548486143 -4.733548648638 -1.259830231993 6.979022153017 1.00
LiMnO3  3.58787741  1.29401837227  0.00619254  1.68680 2.09990 0.41350 2.18240 3 25 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.333466263373 -0.671345464134 -1.423902065558 6.884430469844 1.00
LiFeO3  3.59300666  1.20627961203  0.04786172  1.68680 2.09990 1.39120 2.20810 3 26 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.836619504771 -3.836619636475 -1.415506591628 7.089031766055 1.00
LiCoO3  3.61257232  0.967446069198  0.00199246  1.68680 2.09990 1.38110 1.65750 3 27 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.347469515837 -3.347469630750 -1.133799031088 7.525127748251 1.00
LiNiO3  3.65815212  0.922698814563  0.02929991  1.68680 2.09990 1.37820 1.61770 3 28 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -2.919817594254 -2.919817694486 -0.680064535054 8.128919800973 1.00
LiCuO3  3.69005430  0.854121029593  0.01227299  1.68680 2.09990 1.23610 2.20480 3 29 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.362985932102 -4.362986081876 -1.554935144418 7.534909454159 1.00
LiZnO3  3.78283046  0.687968957161  0.02221903  1.68680 2.09990 1.11690 1.78990 3 30 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -6.384766005031 -0.880351142307 1.016686332121 9.995763731659 1.00
LiGaO3  3.81238997  0.791634050822  0.02109347  1.68680 2.09990 1.00870 1.37830 3 31 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -2.447267344605 -2.447267428616 -0.221448418066 5.403241923784 1.00
LiGeO3  3.69079412  1.07900496724  0.02193578  1.68680 2.09990 0.92390 1.18940 3 32 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.864142063585 -3.864142196235 -0.978668998444 7.285215454342 1.00
LiZrO3  4.11055459  0.892645484993  0.02275613  1.68680 2.09990 1.67180 2.26450 3 40 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.230129340890 -3.230129451775 -0.047328544585 7.150603804508 1.00
LiNbO3  3.92523357  1.22780889389  3.04169927  1.68680 2.09990 1.58200 2.11090 3 41 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.395561840699 -4.395561991591 -0.969575749518 7.291456922287 1.00
LiMoO3  3.84268720  1.32452150395  0.02196452  1.68680 2.09990 1.55920 2.24600 3 42 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -4.405289070280 -4.405289221506 -1.713307224028 6.693232569522 1.00
LiTcO3  3.79132549  1.34745430331  0.00677820  1.68680 2.09990 1.58880 2.13150 3 43 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.015504540133 -3.015504643650 -1.275831727848 7.207933304014 1.00
LiRuO3  3.78556423  0.968656057601  0.01053650  1.68680 2.09990 1.55180 2.19700 3 44 -2.874021756226 -2.874021854887 -0.841607613646 5.167974833842 -3.663439802229 -2.821777985343 -0.586474863883 8.167782092633 1.00
